notification_id,recipient_user_id,entity_type,entity_id,notification_type,message,priority,read_at,created_at
NTF0043,USR006,block_plan_item,PI0033,PLAN_APPROVED,Your submitted task TASK0042 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0044,USR001,block_plan_item,PI0034,PLAN_APPROVED,Your submitted task TASK0043 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0045,USR005,block_plan_item,PI0035,PLAN_APPROVED,Your submitted task TASK0044 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0046,USR003,block_plan_item,PI0036,PLAN_APPROVED,Your submitted task TASK0045 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0047,USR003,block_plan_item,PI0037,PLAN_APPROVED,Your submitted task TASK0047 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0048,USR001,block_plan_item,PI0038,PLAN_APPROVED,Your submitted task TASK0048 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0049,USR006,block_plan_item,PI0039,PLAN_APPROVED,Your submitted task TASK0049 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0050,USR007,block_plan_item,PI0040,PLAN_APPROVED,Your submitted task TASK0050 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0051,USR008,block_plan_item,PI0041,PLAN_APPROVED,Your submitted task TASK0051 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0052,USR009,block_plan_item,PI0042,PLAN_APPROVED,Your submitted task TASK0052 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0053,USR007,block_plan_item,PI0043,PLAN_APPROVED,Your submitted task TASK0053 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0054,USR008,block_plan_item,PI0044,PLAN_APPROVED,Your submitted task TASK0054 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0055,USR001,block_plan_item,PI0045,PLAN_APPROVED,Your submitted task TASK0055 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0056,USR008,block_plan_item,PI0046,PLAN_APPROVED,Your submitted task TASK0056 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0057,USR006,block_plan_item,PI0047,PLAN_APPROVED,Your submitted task TASK0057 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0058,USR002,block_plan_item,PI0048,PLAN_APPROVED,Your submitted task TASK0058 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0059,USR001,block_plan_item,PI0049,PLAN_APPROVED,Your submitted task TASK0059 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
NTF0060,USR003,block_plan_item,PI0050,PLAN_APPROVED,Your submitted task TASK0060 has been scheduled and approved.,Normal,,2026-09-06T22:05:00
