approval_id,plan_id,plan_version_id,plan_item_id,decision_by_user_id,authority_level,decision,reason,decision_at
APR0001,PLAN001,1,PI0001,USR014,3,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-02T18:00:00
APR0033,PLAN001,1,PI0033,USR014,3,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-05T18:00:00
APR0034,PLAN001,1,PI0034,USR010,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-04T18:00:00
APR0035,PLAN001,1,PI0035,USR010,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-07T18:00:00
APR0036,PLAN001,1,PI0036,USR011,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-05T18:00:00
APR0037,PLAN001,1,PI0037,USR010,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-08-30T18:00:00
APR0038,PLAN001,1,PI0038,USR010,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-04T18:00:00
APR0039,PLAN001,1,PI0039,USR013,3,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-01T18:00:00
APR0040,PLAN001,1,PI0040,USR010,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-05T18:00:00
APR0041,PLAN001,1,PI0041,USR010,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-01T18:00:00
APR0042,PLAN001,1,PI0042,USR012,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-07T18:00:00
APR0043,PLAN001,1,PI0043,USR014,3,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-03T18:00:00
APR0044,PLAN001,1,PI0044,USR014,3,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-02T18:00:00
APR0045,PLAN001,1,PI0045,USR012,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-08-28T18:00:00
APR0046,PLAN001,1,PI0046,USR014,3,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-05T18:00:00
APR0047,PLAN001,1,PI0047,USR013,3,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-02T18:00:00
APR0048,PLAN001,1,PI0048,USR011,2,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-03T18:00:00
APR0049,PLAN001,1,PI0049,USR014,3,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-08-28T18:00:00
APR0050,PLAN001,1,PI0050,USR014,3,Approved,Meets safety and scheduling constraints; no unresolved conflict.,2026-09-02T18:00:00
